Generation,BestFitness,AvgFitness,WorstFitness
685,2000.53,119.72,-50.10
686,1001.23,49.33,-50.10
687,2949.90,164.84,-50.10
688,14.08,-27.02,-50.10
689,2454.25,149.79,-50.10
690,500.07,-9.25,-50.10
691,2000.00,95.58,-50.10
692,13.80,-21.45,-50.10
693,2000.00,83.10,-50.10
694,2000.00,71.52,-50.10
695,1511.29,128.20,-50.10
696,505.56,17.31,-50.10
697,1003.50,26.78,-50.10
698,504.06,-7.20,-50.10
699,1003.22,15.84,-50.10
700,500.00,-3.00,-50.10
701,12.01,-30.37,-50.10
702,21.00,-34.31,-50.10
703,951.66,39.28,-50.10
704,1010.08,69.52,-50.10
705,449.90,-3.65,-50.10
706,507.09,19.06,-50.10
707,2000.00,72.80,-50.10
708,1006.23,14.79,-50.10
709,1505.18,77.05,-50.10
710,2000.63,200.52,-50.10
711,1004.09,21.02,-50.10
712,1006.07,18.16,-50.10
713,1510.53,42.88,-50.10
714,1007.53,21.66,-50.10
715,504.55,5.84,-50.10
716,500.00,-9.79,-50.10
717,2000.00,147.52,-50.10
718,2009.38,93.93,-50.10
719,1005.84,45.64,-50.10
720,1506.54,97.20,-50.10
721,500.05,-3.47,-50.10
722,507.80,29.14,-50.10
723,2000.00,80.02,-50.10
724,2000.00,66.43,-50.10
725,1502.39,73.07,-50.10
726,2949.90,267.41,-50.10
727,500.00,26.00,-50.10
728,509.21,0.82,-50.10
729,1953.54,100.48,-50.10
730,2000.00,168.64,-50.10
731,1510.88,71.96,-50.10
732,1511.16,64.42,-50.10
733,2000.00,64.54,-50.10
734,22.75,-22.83,-50.10
735,17.46,-24.54,-50.10
736,17.74,-28.72,-50.10
737,1001.93,47.63,-50.10
738,1949.90,60.89,-50.10
739,2000.00,199.91,-50.10
740,503.83,73.64,-50.10
741,510.57,52.87,-50.10
742,955.87,47.06,-50.10
743,2000.00,93.69,-50.10
744,951.72,46.93,-50.10
745,500.07,-6.88,-50.10
746,2949.90,213.92,-50.10
747,2454.82,105.20,-50.10
748,2949.90,114.04,-50.10
749,2949.90,144.79,-50.10
750,957.78,36.39,-50.10
751,17.94,-31.76,-50.10
752,1002.80,39.16,-50.10
753,505.40,51.58,-50.10
754,1011.34,66.21,-50.10
755,2000.00,72.05,-50.10
756,2003.13,65.73,-50.10
757,2000.00,131.80,-50.10
758,500.72,-6.99,-50.10
759,0.00,-46.61,-50.10
760,1009.98,24.14,-50.10
761,502.30,31.32,-50.10
762,2503.87,193.87,-50.10
763,19.71,-31.79,-50.10
764,1503.48,53.53,-50.10
765,962.71,47.88,-50.10
766,2004.39,69.60,-50.10
767,22.03,-24.33,-50.10
768,2949.90,138.99,-50.10
769,16.90,-29.16,-50.10
770,2000.00,94.74,-50.10
771,2000.00,66.27,-50.10
772,19.74,-32.36,-50.10
773,1001.25,32.30,-50.10
774,2000.00,150.61,-50.10
775,504.74,-3.83,-50.10
776,2949.90,111.58,-50.10
777,1001.44,22.41,-50.10
778,503.42,17.06,-50.10
779,2000.00,71.13,-50.10
780,450.75,-0.32,-50.10
781,1004.27,24.17,-50.10
782,1007.62,72.64,-50.10
783,2949.90,119.48,-50.10
784,26.75,-22.81,-50.10
785,450.10,-5.28,-50.10
786,22.07,-31.67,-50.10
787,18.49,-31.90,-50.10
788,18.37,-29.64,-50.10
789,512.97,15.87,-50.10
790,501.29,-10.30,-50.10
791,2451.75,96.86,-50.10
792,951.77,67.98,-50.10
793,2449.90,337.20,-50.10
794,2000.00,68.57,-50.10
795,957.89,44.81,-50.10
796,2454.43,114.26,-50.10
797,2949.90,114.18,-50.10
798,953.45,49.63,-50.10
799,2000.08,81.40,-50.10
800,2000.00,75.86,-50.10
801,952.55,41.65,-50.10
802,500.00,-1.14,-50.10
803,20.29,-15.87,-50.10
804,20.40,-19.41,-50.10
805,500.00,-1.23,-50.10
806,2949.90,115.37,-50.10
807,1501.03,66.78,-50.10
808,1510.56,118.37,-50.10
809,2500.00,103.45,-50.10
810,22.42,-33.20,-50.10
811,2000.00,79.94,-50.10
812,503.96,-11.66,-50.10
813,20.10,-24.54,-50.10
814,958.37,70.38,-50.10
815,500.00,-7.92,-50.10
816,20.15,-35.00,-50.10
817,1004.37,41.92,-50.10
818,25.31,-38.51,-50.10
819,2949.90,138.90,-50.10
820,2503.35,219.48,-50.10
821,2000.00,95.35,-50.10
822,2454.07,109.27,-50.10
823,20.40,-34.19,-50.10
824,20.16,-29.22,-50.10
825,2000.00,94.71,-50.10
826,1011.28,21.67,-50.10
827,951.88,42.77,-50.10
828,501.22,-4.87,-50.10
829,23.61,-30.89,-50.10
830,18.36,-24.46,-50.10
831,501.06,-7.02,-50.10
832,20.13,-35.31,-50.10
833,2000.00,66.30,-50.10
834,1005.59,36.54,-50.10
835,509.74,-6.99,-50.10
836,2000.00,73.41,-50.10
837,1507.18,115.12,-50.10
838,1503.75,130.04,-50.10
839,1001.58,26.61,-50.10
840,2949.90,136.89,-50.10
841,2000.00,169.44,-50.10
842,1007.38,44.48,-50.10
843,500.15,-7.23,-50.10
844,19.47,-28.65,-50.10
845,1500.23,104.52,-50.10
846,2949.90,117.00,-50.10
847,2449.90,91.05,-50.10
848,500.83,-4.08,-50.10
849,2000.00,73.72,-50.10
850,2949.90,202.63,-50.10
851,1003.52,70.09,-50.10
852,3000.00,243.90,-50.10
853,949.90,47.16,-50.10
854,1008.31,21.74,-50.10
855,500.00,-4.76,-50.10
856,504.96,15.05,-50.10
857,20.06,-36.11,-50.10
858,15.20,-22.74,-50.10
859,1004.34,17.34,-50.10
860,2000.00,74.11,-50.10
861,2000.00,104.26,-50.10
862,952.01,66.98,-50.10
863,2000.00,68.29,-50.10
864,500.11,-10.83,-50.10
865,952.95,21.98,-50.10
866,500.62,-0.89,-50.10
867,500.49,21.69,-50.10
868,21.58,-37.12,-50.10
869,1007.55,64.62,-50.10
870,20.34,-26.53,-50.10
871,2949.90,226.43,-50.10
872,2000.00,223.68,-50.10
873,19.79,-31.32,-50.10
874,19.44,-39.30,-50.10
875,13.31,-34.95,-50.10
876,2000.00,81.12,-50.10
877,2003.34,197.26,-50.10
878,500.00,14.88,-50.10
879,16.58,-29.98,-50.10
880,1008.97,49.22,-50.10
881,509.51,-9.71,-50.10
882,11.76,-32.24,-50.10
883,1500.93,44.30,-50.10
884,449.90,-10.32,-50.10
885,10.82,-23.11,-50.10
886,12.94,-25.19,-50.10
887,12.10,-32.17,-50.10
888,501.17,22.10,-50.10
889,1006.17,47.82,-50.10
890,1952.84,91.56,-50.10
891,19.52,-32.36,-50.10
892,20.21,-31.12,-50.10
893,2000.00,60.96,-50.10
894,508.31,44.36,-50.10
895,1503.81,45.89,-50.10
896,22.22,-24.00,-50.10
897,500.00,-4.65,-50.10
898,2000.00,96.32,-50.10
899,956.96,69.77,-50.10
900,2000.00,160.90,-50.10
901,1003.26,74.03,-50.10
