Generation,BestFitness,AvgFitness,WorstFitness
449,513.78,35.87,-50.09
450,21.08,-17.26,-50.10
451,1010.10,92.21,-50.10
452,507.66,36.20,-50.10
453,1005.46,22.24,-50.10
454,25.76,-23.90,-50.10
455,507.75,33.51,-50.10
456,2009.52,135.30,-50.10
457,1002.69,92.30,-50.10
458,2500.00,155.20,-50.10
459,501.19,17.00,-50.10
460,1506.24,261.71,-49.48
461,500.70,7.86,-50.10
462,2000.79,285.91,-50.10
463,2500.00,267.04,-50.10
464,509.27,65.08,-50.08
465,1508.77,134.99,-50.10
466,1005.47,54.69,-50.09
467,21.63,-12.69,-50.10
468,1012.86,50.01,-50.10
469,1011.83,84.17,-50.10
470,22.58,-17.26,-50.10
471,1003.22,157.42,-50.10
472,1500.69,112.81,-50.10
473,1012.82,95.82,-50.10
474,20.68,-21.80,-50.10
475,20.44,-16.26,-50.10
476,21.23,-26.48,-50.10
477,22.90,-12.52,-50.10
478,2000.55,84.78,-50.10
479,505.68,87.52,-50.10
480,1006.18,61.56,-50.00
481,1503.95,156.89,-50.10
482,500.00,20.61,-50.10
483,1008.49,108.29,-50.10
484,1954.01,302.58,-50.10
485,1006.54,132.87,-50.10
486,2005.14,133.64,-50.10
487,1000.00,47.43,-50.10
488,2001.06,126.78,-50.10
489,1502.91,64.29,-50.10
490,1008.49,69.95,-49.97
491,1004.20,160.42,-50.10
492,1005.27,82.55,-50.10
493,26.42,-16.42,-50.10
494,506.91,8.63,-50.10
495,501.41,20.88,-50.10
496,500.83,21.28,-49.95
497,14.79,-22.10,-50.10
498,22.69,-33.18,-50.10
499,503.75,-10.86,-50.10
500,26.11,-21.37,-50.10
501,504.00,-5.56,-50.09
502,23.15,-22.53,-50.10
503,21.79,-25.98,-50.10
504,1503.88,89.04,-50.10
505,20.51,-16.56,-50.10
506,1003.56,88.73,-50.07
507,1006.90,178.42,-37.44
508,1506.37,92.54,-50.10
509,2003.49,203.79,-50.10
510,2014.31,83.45,-50.10
511,501.79,1.42,-50.10
512,2003.31,88.48,-50.10
513,17.99,-19.77,-50.10
514,509.78,9.88,-50.10
515,22.68,-16.33,-50.10
516,15.45,-29.06,-50.10
517,20.83,-21.76,-50.10
518,509.89,14.88,-50.09
519,22.44,-16.47,-50.10
520,21.41,-18.70,-50.10
521,23.34,-23.06,-50.10
522,500.00,-1.31,-50.10
523,1001.10,70.01,-50.10
524,20.61,-13.32,-50.05
525,21.00,-18.68,-50.10
526,26.77,-26.44,-50.10
527,27.43,-17.67,-50.10
528,500.00,1.04,-50.10
529,500.00,-2.98,-50.10
530,21.47,-19.87,-50.10
531,25.10,-19.60,-50.10
532,1009.77,38.68,-50.10
533,1008.00,63.94,-50.10
534,500.00,1.14,-50.10
535,504.51,16.96,-50.10
536,500.37,36.35,-50.10
537,1949.90,153.00,-50.10
538,1009.08,75.74,-50.10
539,1501.70,57.11,-50.10
540,1004.55,63.72,-50.10
541,1009.86,58.16,-50.10
542,500.06,15.89,-50.10
543,1002.95,36.38,-50.07
544,506.75,19.75,-50.09
545,25.44,-13.93,-49.97
546,500.69,15.12,-49.37
547,22.34,-3.08,-50.10
548,23.16,-26.66,-50.10
549,1004.56,42.05,-50.10
550,20.31,-2.13,-49.66
551,502.93,11.07,-50.10
552,22.92,-13.20,-50.08
553,502.88,21.81,-50.10
554,462.99,1.77,-50.10
555,23.00,-13.12,-50.10
556,22.35,-2.71,-50.10
557,1005.71,37.18,-49.93
558,26.01,-11.85,-49.95
559,22.26,-10.84,-50.10
560,1008.79,112.71,-50.10
561,503.21,48.18,-50.10
562,1002.96,69.44,-50.04
563,1009.32,139.56,-50.10
564,20.08,-2.97,-47.55
565,29.22,-19.14,-49.99
566,20.38,-18.79,-50.10
567,20.87,-8.42,-49.77
568,503.45,22.57,-48.72
569,508.30,30.92,-50.09
570,503.93,1.98,-50.10
571,22.28,-2.60,-50.10
572,1004.03,87.20,-50.10
573,1010.82,35.47,-50.10
574,21.58,-12.24,-50.10
575,2001.09,158.34,-50.10
576,2001.39,155.38,-49.17
577,1513.73,54.90,-50.10
578,505.24,10.90,-50.10
579,1007.35,105.66,-50.10
580,1006.76,130.04,-50.10
581,1006.65,27.37,-50.10
582,24.19,-11.04,-50.10
583,508.11,59.08,-50.10
584,507.95,61.17,-50.10
585,24.38,-7.42,-46.65
586,503.45,43.91,-50.10
587,24.05,-1.75,-50.07
588,500.00,9.49,-50.10
589,508.84,68.20,-50.10
590,2002.69,267.57,-50.10
591,450.15,4.04,-50.10
592,1011.08,67.14,-50.10
593,20.52,-13.28,-50.08
594,500.00,7.25,-49.97
595,2006.43,95.50,-50.09
596,450.47,4.22,-50.10
597,2500.00,216.72,-49.94
598,510.84,31.55,-50.10
599,507.46,36.79,-50.10
600,513.55,-2.56,-50.10
601,1011.94,63.65,-50.06
602,1001.45,104.98,-50.10
603,1006.56,65.41,-50.06
604,1950.21,124.32,-50.10
605,501.11,-1.59,-50.10
606,24.61,-25.55,-50.10
607,22.85,-28.93,-50.10
608,1008.60,29.35,-50.10
609,14.41,-26.04,-50.10
610,1003.61,93.84,-50.10
611,2000.21,66.00,-50.10
612,1508.51,130.75,-50.10
613,2006.67,236.33,-50.10
614,2001.22,307.18,-49.03
615,1500.17,209.26,-42.35
616,1950.32,83.62,-50.10
617,1508.95,131.53,-50.10
618,1001.78,66.62,-50.09
619,2009.76,205.90,-50.10
620,504.92,25.95,-50.06
621,1009.72,96.73,-50.08
622,1449.90,157.26,-50.06
623,17.40,-21.85,-50.10
624,501.34,8.45,-50.10
625,1951.15,102.98,-50.09
626,2004.55,84.18,-50.10
627,1950.13,187.50,-50.10
628,2000.15,104.05,-50.10
629,1010.64,129.95,-50.10
630,1007.14,130.09,-50.07
631,24.80,-18.39,-50.10
632,24.20,-30.20,-50.10
633,503.62,3.40,-50.10
634,16.76,-24.15,-50.10
635,505.27,2.07,-50.10
636,16.83,-12.79,-50.10
637,509.80,13.06,-50.10
638,505.63,15.81,-50.10
639,25.93,-12.00,-50.10
640,1509.30,60.11,-50.10
641,18.07,-21.98,-50.10
642,15.66,-22.66,-50.10
643,465.62,12.23,-50.10
644,502.95,9.21,-50.10
645,22.92,-9.76,-50.10
646,501.76,-0.45,-50.10
647,1005.43,25.05,-50.10
648,1510.45,125.29,-50.10
649,1501.33,204.42,-50.10
650,504.20,17.05,-50.10
651,16.13,-20.75,-50.10
652,450.46,-2.56,-50.10
653,12.94,-31.20,-50.10
654,449.90,2.12,-50.10
655,502.88,8.42,-50.10
656,456.50,4.41,-50.05
657,500.56,38.96,-50.10
658,502.49,7.32,-50.10
659,507.95,31.81,-50.10
660,22.78,-16.92,-50.10
661,507.79,9.45,-50.10
662,504.65,0.87,-50.10
663,510.52,15.73,-50.10
664,504.33,5.10,-50.10
665,17.81,-24.62,-50.08
666,27.47,-20.29,-50.10
667,951.84,106.23,-50.10
668,1013.61,51.37,-50.10
669,506.83,3.01,-50.10
670,26.26,-17.99,-50.10
671,503.75,45.70,-50.10
672,961.62,34.62,-50.10
673,1505.75,125.34,-50.10
674,1007.88,172.91,-50.10
675,1000.00,128.82,-50.10
676,2000.03,90.56,-49.96
677,502.58,5.54,-50.10
678,2500.00,201.84,-50.10
679,2500.00,102.78,-50.10
680,1000.00,43.45,-50.10
681,2005.83,93.83,-50.03
682,1010.06,89.82,-50.10
683,2011.72,240.91,-50.10
684,952.97,33.43,-50.09
685,1949.90,185.19,-50.08
686,2004.32,84.23,-50.10
687,1008.85,222.01,-49.89
688,501.18,1.26,-50.10
689,1010.31,78.10,-50.10
690,1508.60,120.26,-50.10
691,1009.12,92.21,-50.10
692,1501.15,207.14,-50.10
693,1001.48,73.30,-50.09
694,1012.86,75.11,-50.10
695,507.69,-7.70,-50.10
696,16.61,-21.37,-50.08
697,21.63,-22.29,-50.10
698,16.05,-17.39,-50.10
699,1008.67,30.70,-50.10
700,508.07,129.31,-50.10
701,2500.00,154.62,-50.10
702,1011.54,137.08,-50.10
703,509.88,97.43,-50.10
704,2005.59,181.32,-50.10
705,22.93,-16.71,-50.09
706,1503.94,58.03,-50.10
707,24.63,0.63,-50.10
708,20.63,-18.76,-50.10
709,1008.55,77.36,-50.10
710,503.91,-0.04,-50.10
711,511.53,69.41,-50.10
712,460.80,11.02,-50.10
713,1501.91,108.28,-50.10
714,20.64,-13.54,-50.09
715,506.13,19.89,-50.10
716,1502.64,192.43,-50.10
717,509.49,61.22,-50.09
718,503.13,52.85,-50.10
719,1501.03,132.31,-50.10
720,1502.86,127.12,-50.10
721,1012.58,83.65,-50.10
722,2003.17,146.61,-50.10
723,2500.00,308.93,-50.10
724,1004.07,55.16,-50.10
725,2500.00,255.85,-50.10
726,507.37,61.12,-50.09
727,2004.58,186.64,-50.10
728,1008.47,42.35,-50.10
729,1007.06,34.59,-50.10
730,1007.31,89.23,-50.10
731,1510.65,103.87,-50.06
732,1506.43,216.04,-50.10
733,502.72,31.24,-50.10
734,502.93,0.89,-50.10
735,502.42,30.84,-50.10
736,450.30,6.36,-50.10
737,505.17,29.14,-50.10
738,22.13,-24.92,-50.10
739,21.06,-19.48,-50.10
740,508.57,90.56,-50.07
741,2510.26,156.50,-50.10
742,2510.49,151.41,-50.10
743,461.17,-0.81,-50.09
744,1000.09,70.73,-50.10
745,501.45,58.86,-50.10
746,17.21,-17.55,-50.04
747,511.25,34.46,-50.10
748,1004.44,91.14,-50.10
749,18.45,-23.67,-50.09
750,1005.79,86.62,-50.10
751,1012.37,140.34,-50.10
752,512.42,23.61,-50.10
753,1008.45,43.31,-49.62
754,510.72,59.45,-50.10
755,505.86,33.99,-50.10
756,1008.48,110.06,-50.10
757,1007.31,191.03,-50.10
758,1501.35,323.80,-49.99
759,1011.13,55.43,-50.10
760,1503.91,63.69,-50.10
761,509.82,59.48,-49.96
762,2002.30,190.17,-50.10
763,2008.03,106.88,-50.10
764,2000.00,136.20,-50.10
765,1500.30,137.37,-50.08
766,1006.79,139.62,-48.66
767,1500.15,142.32,-50.10
768,1949.90,122.36,-50.10
769,2500.00,173.81,-50.10
770,1002.04,90.60,-50.06
771,1002.78,92.14,-50.10
772,2001.39,217.88,-50.10
773,1003.86,51.78,-50.10
774,504.54,7.65,-50.10
775,506.52,33.48,-50.02
776,1004.65,100.97,-50.10
777,506.35,25.61,-50.10
778,1011.89,58.17,-50.10
779,1005.80,68.00,-50.10
780,19.31,-22.49,-50.10
781,500.79,38.87,-50.10
782,500.02,16.23,-50.10
783,1507.31,138.73,-50.10
784,26.77,-12.06,-50.10
785,513.16,29.02,-50.10
786,500.00,32.97,-50.10
787,506.71,31.89,-50.10
788,457.43,-7.13,-50.10
789,2004.33,169.96,-50.10
790,454.85,17.29,-50.10
791,508.89,55.41,-50.10
792,1507.65,137.69,-50.10
793,1010.92,106.40,-50.10
794,2449.90,255.95,-50.10
795,28.49,-26.63,-50.10
796,457.01,-2.64,-50.10
797,19.30,-20.25,-50.10
798,2449.90,123.72,-50.10
799,1005.56,59.92,-50.10
800,506.87,13.92,-50.10
801,1000.08,85.45,-50.09
802,956.04,57.88,-50.10
803,1000.53,84.70,-50.10
804,1000.00,69.56,-50.04
805,1008.49,83.94,-50.10
806,2001.02,189.34,-50.10
807,1500.49,162.23,-49.91
808,1005.88,26.61,-50.10
809,2000.00,113.19,-50.10
810,1512.37,90.46,-50.10
811,2000.29,110.13,-50.10
812,510.85,2.04,-50.10
813,1008.05,53.48,-50.10
814,1510.19,102.95,-50.10
815,2000.95,73.13,-50.10
816,1951.91,74.62,-50.10
817,20.70,-22.01,-50.10
818,506.64,54.10,-50.10
819,957.09,34.31,-50.10
820,1949.90,101.15,-49.99
821,1507.42,101.00,-50.10
822,1002.93,56.71,-50.10
823,505.41,34.58,-50.10
824,508.99,2.13,-50.10
825,1007.26,56.85,-50.06
826,25.31,-17.90,-50.10
827,1010.68,74.51,-49.99
828,28.97,-12.33,-50.10
829,1511.37,76.30,-50.10
830,1514.09,271.80,-50.10
831,507.75,40.74,-49.79
832,500.28,14.07,-50.10
833,2504.37,123.02,-50.10
834,513.06,25.76,-50.10
835,1000.00,110.10,-50.10
836,1999.90,86.29,-50.10
837,1009.07,89.02,-50.10
838,2001.08,116.57,-50.10
839,500.00,4.85,-50.10
840,1007.03,58.53,-50.10
841,1001.56,158.27,-50.10
842,1007.78,49.19,-50.10
843,2500.00,179.10,-50.10
844,18.60,-27.38,-50.10
845,2003.94,160.29,-50.10
846,1008.95,188.92,-50.10
847,1953.99,286.30,-50.08
848,505.29,3.75,-50.06
849,2005.17,283.32,-50.08
850,2009.73,150.10,-50.10
851,2000.00,343.63,-50.10
852,507.07,21.90,-50.10
853,1011.28,107.76,-50.10
854,1508.16,129.47,-50.10
855,2015.57,210.34,-50.10
856,1001.77,133.20,-49.49
857,1508.17,81.64,-50.10
858,1005.64,108.40,-50.10
859,2500.00,339.94,-50.10
860,1950.28,165.23,-50.10
861,2004.16,112.26,-49.13
862,2004.26,92.01,-50.10
863,451.16,4.01,-50.10
864,1954.53,172.80,-50.10
865,1503.66,70.30,-50.10
866,509.58,79.06,-50.10
867,505.18,42.90,-50.10
868,1006.72,85.13,-50.10
869,2000.19,129.46,-49.92
870,510.13,52.00,-49.42
871,511.13,23.42,-50.10
872,23.18,-40.03,-50.10
873,1006.35,97.11,-50.10
874,510.64,5.95,-50.10
875,1006.91,25.47,-50.10
876,26.67,-18.43,-50.10
877,1501.17,137.44,-50.10
878,500.00,31.83,-50.10
879,18.89,-21.25,-50.10
880,1007.49,37.46,-50.10
881,18.75,-18.88,-50.10
882,1007.61,30.72,-50.10
883,2001.92,97.55,-50.10
884,18.31,-33.25,-50.10
885,504.11,-10.00,-50.10
886,1001.76,32.29,-50.10
887,1010.15,22.71,-50.10
888,21.19,-18.44,-50.10
889,956.07,29.39,-50.10
890,17.29,-9.09,-50.10
891,463.93,-2.01,-50.10
892,505.35,12.60,-50.10
893,463.01,9.69,-50.10
894,19.60,-12.80,-49.99
895,18.10,-10.22,-50.10
896,24.17,-17.43,-50.10
897,10.42,-23.71,-50.10
898,16.48,-8.91,-50.10
899,1006.18,88.17,-50.10
